Date_of_Payment,lat,long,pay,day
2013-08-20,33.276539,-112.18717,10,19
2013-08-20,33.443017,-111.743444,8.95,19
2013-08-20,33.579122,-117.731534,168.74,19
2013-08-20,33.705787,-117.816189,100,19
2013-08-20,35.078775,-89.841963,11.8,19
2013-08-20,36.782012,-119.822019,43.09,19
2013-08-20,36.850729,-119.802227,10.07,19
2013-08-20,36.896749,-119.750294,43.09,19
2013-08-20,40.358409,-74.068143,24.07,19
2013-08-20,40.656796,-111.890414,8.56,19
2013-08-20,41.040597,-74.718191,10.95,19
2013-08-20,41.473367,-87.12927,2.5,19
2013-08-20,43.482403,-83.969391,100,19
2013-08-20,33.786594,-118.298662,32.15,19
2013-08-20,33.863454,-84.008066,16.7,19
2013-08-20,39.718539,-105.245659,30.18,19
2013-08-20,39.425137,-84.472925,101.41,19
2013-08-20,39.387357,-84.499743,9.41,19
2013-08-20,38.585804,-121.402213,3.85,19
2013-08-21,26.572627,-81.937186,2.15,20
2013-08-21,27.871964,-82.438841,64.28,20
2013-08-21,25.852273,-80.207219,6.22,20
2013-08-21,25.558428,-80.458168,65.88,20
2013-08-21,28.239369,-82.736882,64.28,20
2013-08-21,27.231941,-82.3504,64.28,20
2013-08-21,26.135692,-80.253284,65.88,20
2013-08-21,47.650091,-117.429846,22.51,20
2013-08-21,33.276539,-112.18717,0.29,20
2013-08-21,33.082192,-117.267169,18.28,20
2013-08-21,42.601469,-82.821874,16.26,20
2013-08-21,42.470639,-82.902194,16.26,20
2013-08-21,41.473248,-81.505389,18.67,20
2013-08-21,41.399129,-82.724417,18.67,20
2013-08-21,40.167712,-82.869636,5.38,20
2013-08-21,40.013811,-75.228224,1.92,20
2013-08-21,39.387357,-84.499743,87.96,20
2013-08-21,39.269226,-84.330686,15.48,20
2013-08-21,42.402794,-76.483999,28.72,20
2013-08-21,38.907518,-95.283982,13.4,20
2013-08-21,37.832075,-121.916718,24.66,20
2013-08-21,36.896749,-119.750294,47.46,20
2013-08-21,36.782012,-119.822019,47.46,20
2013-08-21,35.077091,-89.759979,5.57,20
2013-08-21,33.786594,-118.298662,45.08,20
2013-08-21,33.44204,-116.861027,23.3,20
2013-08-21,38.967311,-76.610143,3.39,20
2013-08-22,39.877991,-86.200688,3.91,21
2013-08-22,39.580691,-78.690593,6.48,21
2013-08-22,39.492596,-77.461211,11.96,21
2013-08-22,38.953033,-77.229496,47.94,21
2013-08-22,38.74073,-121.25603,103.77,21
2013-08-22,33.162417,-96.71546,99.75,21
2013-08-22,38.62136,-121.332191,103.77,21
2013-08-22,36.153572,-86.583994,18.77,21
2013-08-22,37.592095,-77.495206,84.75,21
2013-08-22,37.519396,-77.500757,83.32,21
2013-08-22,33.786594,-118.298662,28.78,21
2013-08-22,33.553346,-111.879806,15,21
2013-08-22,33.420061,-111.792658,10.53,21
2013-08-22,39.89384,-86.137988,3.91,21
2013-08-22,38.594181,-121.310796,103.77,21
2013-08-22,40.347017,-79.500729,87.46,21
2013-08-22,30.290839,-81.631465,98.97,21
2013-08-22,25.852273,-80.207219,9.08,21
2013-08-22,43.150119,-75.192786,23.97,21
2013-08-22,43.011127,-83.803045,5.22,21
2013-08-22,29.269288,-98.33469,2.36,21
2013-08-22,28.06374,-81.711071,2.3,21
2013-08-22,27.556714,-99.475079,200,21
2013-08-22,32.771419,-97.291484,103.77,21
2013-08-22,26.178661,-80.144873,4.55,21
2013-08-22,40.801131,-75.310958,21.92,21
2013-08-23,40.776629,-73.953914,2400,22
2013-08-23,40.772743,-111.838541,2223.65,22
2013-08-23,40.7646,-74.188029,100,22
2013-08-23,40.754757,-73.601772,2094.89,22
2013-08-23,40.683198,-75.264861,32.82,22
2013-08-23,40.608389,-74.093684,1600,22
2013-08-23,40.604372,-75.473127,2504.89,22
2013-08-23,40.101109,-75.17802,1000,22
2013-08-23,40.768823,-73.960257,1000,22
2013-08-23,40.765309,-74.98743,1609.32,22
2013-08-23,36.053498,-95.920371,3200,22
